UF,Cod.Item,Produto,CFOP,NCM,ID utilização,Utilização,Valor,ICMS
AL,11447,SAB ORIG LIMAO SICILIANO 100 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,355.5,0.0
AL,11596,DEO COLONIA MEDIT ALFAZEMA 200 ML,5405,3307.20.10,10,Vda/Dev Vda Mer,24783.38,0.0
AL,11597,DEO COLONIA MEDIT LIMAO SICILIANO 200 ML,5405,3307.20.10,10,Vda/Dev Vda Mer,25410.4,0.0
AL,11698,CR MAOS TERR LAVANDA 50 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,5261.37,0.0
AL,11699,ESFOLIANTE TERR LAVANDA 200 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,6497.75,0.0
AL,11700,MANTEIGA TERR LAVANDA 200 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,7094.23,0.0
AL,11701,HIDRAT TERR LAVANDA 300 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,7436.2,0.0
AL,11702,SAB LIQ TERR LAVANDA 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,8001.32,0.0
AL,11763,KIT TERR CAST BRASIL 4X50 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,66.5,0.0
AL,11768,SPA RELAXANTE PARA OS PES PINK,5405,3304.30.00,10,Vda/Dev Vda Mer,9100.01,0.0
AL,11769,KIT TERR MANT+ESFO CALENDULA 2X60 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,2596.11,0.0
AL,11770,KIT TERR MANT+ESFO CAST BRASIL 2X60 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,938.42,0.0
AL,11771,KIT TERR MANT+ESFO LAVANDA 2X60 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,1727.92,0.0
AL,11785,GEL ANTI CANSACO ANTISSEP SPORT 120 G,5405,3304.99.90,10,Vda/Dev Vda Mer,1619.25,0.0
AL,11807,CR PROTETOR DE SEIOS 40 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,153.0,0.0
AL,11840,SAB LIQ AGUAS NEROLI 500 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,2957.38,0.0
AL,11843,SAB LIQ AGUAS LAVANDA 500 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,8966.65,0.0
AL,12093,LENCOS UMEDECIDOS BEBE TRADICIONAL,5102,3401.11.90,10,Vda/Dev Vda Mer,792.75,158.55
AL,12095,REFIL SAB GLIC BEBE TRADICIONAL 250 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,3623.0,0.0
AL,12098,REFIL SAB GLIC BEBE ERVA DOCE 250 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,3508.0,0.0
AL,12099,REFIL SAB GLIC BEBE LAVANDA 250 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,1465.0,0.0
AL,12112,SOMBRA COMPACTA MOGNO 2.8 GR,5405,3304.20.10,10,Vda/Dev Vda Mer,67.0,0.0
AL,12271,ESMALTE PINK GRETA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,213.0,0.0
AL,12273,ESMALTE PINK RITA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,408.25,0.0
AL,12276,ESMALTE PINK INGRID 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,491.67,0.0
AL,12278,ESMALTE PINK GRACE 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,681.6,0.0
AL,12366,CR MAOS TERR CALENDULA 50 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,4272.88,0.0
AL,12367,CR MAOS TERR CAST BRASIL 50 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,1630.37,0.0
AL,12378,KIT TERR LATA CAST BRASIL,5405,3304.99.90,10,Vda/Dev Vda Mer,4277.0,0.0
AL,12379,KIT TERR LATA CALENDULA,5405,3304.99.90,10,Vda/Dev Vda Mer,23493.06,0.0
AL,12697,ESMALTE PINK BARBRA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,562.68,0.0
AL,12699,ESMALTE PINK EDITH 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,727.75,0.0
AL,12704,ESMALTE PINK DONNA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,438.41,0.0
AL,12705,ESMALTE PINK TINA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,443.75,0.0
AL,12706,ESMALTE PINK ARETHA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,408.25,0.0
AL,13164,DIFUSOR VINTAGE CARIOCA 235 ML,5102,3307.49.00,10,Vda/Dev Vda Mer,16700.91,3194.96
AL,13165,SAB VINTAGE CARIOCA 120 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,9441.14,0.0
AL,13254,ESMALTE PINK MARY 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,216.55,0.0
AL,13265,ESMALTE PINK SYLVIA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,285.77,0.0
AL,13387,CAIXA SAB TRAD AMARELO 8X90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,1751.95,0.0
AL,13494,OLEO FORTALECEDOR PIK 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,3022.48,0.0
AL,13602,MIX FRUTAS BRASILEIRAS 6X90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,5392.19,0.0
AL,13638,LENCOS UMEDECIDOS BEBE ERVA DOCE,5102,3401.11.90,10,Vda/Dev Vda Mer,2577.75,515.55
AL,13639,LENCOS UMEDECIDOS BEBE LAVANDA,5102,3401.11.90,10,Vda/Dev Vda Mer,1666.5,333.3
AL,13802,OLEO TERR LAVANDA 120 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,4783.8,0.0
AL,13803,SAB TERR LAVANDA 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,310.05,0.0
AL,14185,SAIS DE BANHO TERR LAVANDA 5X15 GR,5405,3307.30.00,10,Vda/Dev Vda Mer,2405.0,0.0
AL,14203,EAU TOILETTE VINTAGE CARIOCA 100 ML,5405,3303.00.20,10,Vda/Dev Vda Mer,35826.05,0.0
AL,14282,ESMALTE PINK CATARINA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,351.45,0.0
AL,14283,ESMALTE PINK CARLOTA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,355.0,0.0
AL,14570,SOS CUTICULAS PERFEITAS PINK 3.5 GR,5405,3304.30.00,10,Vda/Dev Vda Mer,8746.6,0.0
AL,14577,OLEO TERR CHA BRANCO 120 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,1730.71,0.0
AL,14578,SAB LIQ TERR CHA BRANCO 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,3644.05,0.0
AL,14579,DIFUSOR TERR CHA BRANCO 250 ML,5102,3307.49.00,10,Vda/Dev Vda Mer,10769.57,2061.7
AL,14580,ESFOLIANTE TERR CHA BRANCO 200 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,3061.25,0.0
AL,14581,VELA TERR CHA BRANCO 180 GR,5102,3406.00.00,10,Vda/Dev Vda Mer,4042.48,774.27
AL,14582,CR MAOS TERR CHA BRANCO 50 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,2077.5,0.0
AL,14585,MANTEIGA TERR CHA BRANCO 200 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,3246.75,0.0
AL,14586,HIDRAT TERR CHA BRANCO 300 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,2186.52,0.0
AL,14695,SH VINTAGE CARIOCA 280 ML,5405,3305.10.00,10,Vda/Dev Vda Mer,2160.0,0.0
AL,14696,COND VINTAGE CARIOCA 280 ML,5405,3305.90.00,10,Vda/Dev Vda Mer,1463.99,0.0
AL,14697,SH TERR LAVANDA 180 ML,5405,3305.10.00,10,Vda/Dev Vda Mer,2482.2,0.0
AL,14698,COND TERR LAVANDA 180 ML,5405,3305.90.00,10,Vda/Dev Vda Mer,1637.85,0.0
AL,15134,COND AMENITIES TERR LAVANDA 50 ML,5405,3305.90.00,10,Vda/Dev Vda Mer,69.75,0.0
AL,15166,CAIXA SAB TRAD BELEM 8X90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,7837.44,0.0
AL,15238,ESMALTE PINK CLARA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,1281.54,0.0
AL,15241,ESMALTE PINK EDNA 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,440.2,0.0
AL,15242,ESMALTE PINK JOSEPHINE 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,408.25,0.0
AL,15243,ESMALTE PINK BESSIE 10 ML,5405,3304.30.00,10,Vda/Dev Vda Mer,292.87,0.0
AL,15263,REP DE CALCANHARES DANIFIC 20G,5405,3304.30.00,10,Vda/Dev Vda Mer,6518.76,0.0
AL,15292,COLONIA FOLHA DE LARANJEIRA 300ML,5405,3303.00.20,10,Vda/Dev Vda Mer,17497.3,0.0
AL,15293,COLONIA VERBENA 300ML,5405,3303.00.20,10,Vda/Dev Vda Mer,22001.84,0.0
AL,15478,MASCARA  REPARADORA CAP TER CAST,5405,3304.99.90,10,Vda/Dev Vda Mer,1919.9,0.0
AL,15479,CREME REPAR CAP TERR CAST,5405,3304.99.90,10,Vda/Dev Vda Mer,3182.86,0.0
AL,15481,OLEO NUTRIT CAPILAR TERR CAST,5405,3305.90.00,10,Vda/Dev Vda Mer,3284.82,0.0
AL,15505,SHAMPOO CABELO,5405,3305.10.00,10,Vda/Dev Vda Mer,1678.23,0.0
AL,15508,CERA MODELADORA CABELO,5405,3307.10.00,10,Vda/Dev Vda Mer,5857.27,0.0
AL,15541,BALM LABIAL PITANGA 13G,5405,3304.10.00,10,Vda/Dev Vda Mer,4108.31,0.0
AL,15712,BASE SOS 7 EM 1 10ML,5405,3304.30.00,10,Vda/Dev Vda Mer,6851.26,0.0
AL,15729,CR NUTRIT GLICERINA AMENDOA 60G,5405,3304.99.90,10,Vda/Dev Vda Mer,662.4,0.0
AL,15730,CR NUTRIT GLICERINA MEL 60G,5405,3304.99.90,10,Vda/Dev Vda Mer,521.6,0.0
AL,15818,LEITE DE IMERSAO PINK,5405,3304.99.90,10,Vda/Dev Vda Mer,1504.75,0.0
AL,16099,SAB TERR CHA BRANCO 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,297.04,0.0
